,dLQ,sLQ,non-res
All,1.0,1.0,1.0
Maximum 1 light lepton,0.9780275,0.9622275,0.9598733333333334
At least 2 leptons,0.10717125,0.18117125,0.22248
Exactly 2 leptons,0.10395375,0.17692375,0.22092
semileptonic selection,0.05975125,0.10274875,0.12248
non-resonant selection,0.00772375,0.0291775,0.08576
DeltaR > 0.3,0.00772375,0.0291775,0.08576
