,dLQ,sLQ,non-res
All,1.0,1.0,1.0
Maximum 1 light lepton,0.97730625,0.96222375,0.9621466666666667
At least 2 leptons,0.10919625,0.182145,0.21644
Exactly 2 leptons,0.10577625,0.1780775,0.21516666666666667
semileptonic selection,0.06147125,0.10435625,0.11938666666666667
non-resonant selection,0.00809875,0.029645,0.08368
DeltaR > 0.3,0.00809875,0.029645,0.08368
