,ttbar,stop,z_jets,w_jets,ww,wz,zz,LQ_LQ_1000,LQ_LQ_1250,LQ_LQ_1500,LQ_LQ_1750,LQ_LQ_2000,LQ_LQ_2250,LQ_LQ_2500,Tau_LQ_1000,Tau_LQ_1250,Tau_LQ_1500,Tau_LQ_1750,Tau_LQ_2000,Tau_LQ_2250,Tau_LQ_2500,Tau_Tau_1000,Tau_Tau_1250,Tau_Tau_1500,Tau_Tau_1750,Tau_Tau_2000,Tau_Tau_2250,Tau_Tau_2500,LQ_LQ_wo_RHC_1000,LQ_LQ_wo_RHC_1250,LQ_LQ_wo_RHC_1500,LQ_LQ_wo_RHC_1750,LQ_LQ_wo_RHC_2000,LQ_LQ_wo_RHC_2250,LQ_LQ_wo_RHC_2500,Tau_LQ_wo_RHC_1000,Tau_LQ_wo_RHC_1250,Tau_LQ_wo_RHC_1500,Tau_LQ_wo_RHC_1750,Tau_LQ_wo_RHC_2000,Tau_LQ_wo_RHC_2250,Tau_LQ_wo_RHC_2500,Tau_Tau_wo_RHC_1000,Tau_Tau_wo_RHC_1250,Tau_Tau_wo_RHC_1500,Tau_Tau_wo_RHC_1750,Tau_Tau_wo_RHC_2000,Tau_Tau_wo_RHC_2250,Tau_Tau_wo_RHC_2500
XS,504.696,241.17,43029.27,146548.3,65.50736,24.69184,9.562416,0.19567,0.0330183,0.00654102,0.001428408,0.000331919,8.02268e-05,1.997652e-05,0.1029,0.02291,0.006099,0.001836,0.0006038,0.0002119,7.806e-05,0.3449,0.147,0.07285,0.03964,0.02337,0.01466,0.009684,0.1982092,0.03347837,0.006548228,0.0014225013,0.00033068328,7.9878115e-05,1.9879499e-05,0.05132095,0.0114448,0.00304724,0.00091653,0.00030121,0.00010571,3.895899e-05,0.04198,0.01707,0.008189,0.004485,0.002816,0.002013,0.001612
All,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Maximum 1 light lepton,0.9885851340649394,0.9968420869565218,0.9852615741896549,0.9999996657566175,0.9911556,0.9822169543147208,0.9697543,0.96606,0.9660866666666666,0.9661633333333334,0.9665533333333334,0.967685,0.9675616666666667,0.9685116666666667,0.95727,0.95639,0.95615,0.95518,0.9552283333333333,0.9558466666666666,0.9560766666666667,0.9674,0.9656833333333333,0.9644733333333333,0.9639916666666667,0.9632333333333334,0.9630416666666667,0.9624133333333333,0.97424125,0.975175,0.9760525,0.97730625,0.9780275,0.97874625,0.9794775,0.960865,0.961025,0.96152125,0.96222375,0.9622275,0.96273875,0.96370875,0.9667133333333333,0.9655933333333333,0.9648933333333334,0.9621466666666667,0.9598733333333334,0.95798,0.9569933333333334
At least 2 leptons,0.006057739974698907,0.0024384347826086955,0.00013039315942247015,9.946128084069659e-05,0.00207416,0.0016804060913705584,0.0014777,0.16734833333333332,0.168155,0.16621,0.1654,0.164085,0.163375,0.16158333333333333,0.21594,0.21987666666666666,0.22321666666666667,0.22327166666666667,0.22431666666666666,0.22478,0.22313166666666667,0.19381333333333334,0.20005333333333333,0.20365666666666668,0.20740333333333333,0.21007333333333333,0.21356833333333333,0.21449166666666666,0.11350625,0.11301,0.11041,0.10919625,0.10717125,0.1054875,0.10487,0.179225,0.182045,0.18167375,0.182145,0.18117125,0.1797025,0.1794375,0.19338,0.20219333333333334,0.2088,0.21644,0.22248,0.23225333333333334,0.23614
Exactly 2 leptons,0.005998457250408829,0.0024197391304347825,0.00013006893275171392,9.917478651278292e-05,0.00206896,0.0016575634517766496,0.001453,0.16242833333333334,0.16299666666666668,0.16086166666666665,0.16010166666666667,0.15894333333333333,0.15820166666666666,0.15661333333333333,0.21116166666666666,0.21510166666666666,0.21809833333333334,0.21814666666666666,0.21921,0.219515,0.217845,0.19262833333333335,0.19897166666666666,0.20249,0.20613833333333334,0.20880666666666667,0.21223666666666666,0.21323166666666668,0.11002375,0.10966625,0.10709625,0.10577625,0.10395375,0.1021775,0.101615,0.17551125,0.1781425,0.177715,0.1780775,0.17692375,0.17565625,0.17527375,0.19219333333333333,0.20094666666666666,0.20752666666666666,0.21516666666666667,0.22092,0.23064666666666667,0.23455333333333334
semileptonic selection,0.005334498966357774,0.0021178260869565216,8.900022112258946e-05,8.618704364736312e-05,0.00191968,0.001404263959390863,0.001033,0.09346,0.09377166666666667,0.09253166666666666,0.092125,0.09053833333333333,0.09007166666666666,0.08965166666666667,0.12161666666666666,0.12388666666666667,0.12593833333333335,0.12505,0.12548166666666666,0.12544166666666667,0.12494333333333334,0.10533333333333333,0.108605,0.11195333333333334,0.113245,0.11568833333333334,0.11770333333333333,0.11828,0.06543375,0.064835,0.06270625,0.06147125,0.05975125,0.05889125,0.05833375,0.10421625,0.1050575,0.10448875,0.10435625,0.10274875,0.10190625,0.10120875,0.10532666666666667,0.10932,0.11506,0.11938666666666667,0.12248,0.12901333333333334,0.13251333333333334
sLQ selection,0.002604778409733721,0.0008606086956521739,2.377662252212469e-06,2.2442055686571005e-06,7.072e-05,8.50761421319797e-05,9.4e-05,0.039175,0.03908333333333333,0.03822333333333333,0.038301666666666664,0.03734666666666667,0.03716,0.036553333333333334,0.067525,0.06916166666666666,0.07019333333333333,0.069445,0.07014,0.06965666666666667,0.06981166666666666,0.02671166666666667,0.027578333333333333,0.028605,0.029443333333333332,0.030123333333333332,0.030231666666666667,0.030675,0.02804875,0.0276475,0.02643625,0.02602625,0.0250625,0.0250925,0.02471,0.05747375,0.057875,0.05786375,0.05734875,0.05646625,0.0558525,0.0557,0.027006666666666665,0.028013333333333335,0.029913333333333333,0.03183333333333333,0.03264,0.03527333333333333,0.03542666666666667
DeltaR > 0.3,0.002604778409733721,0.0008606086956521739,2.377662252212469e-06,2.2442055686571005e-06,7.072e-05,8.50761421319797e-05,9.4e-05,0.039175,0.03908333333333333,0.03822333333333333,0.038301666666666664,0.03734666666666667,0.03716,0.036553333333333334,0.067525,0.06916166666666666,0.07019333333333333,0.069445,0.07014,0.06965666666666667,0.06981166666666666,0.02671166666666667,0.027578333333333333,0.028605,0.029443333333333332,0.030123333333333332,0.030231666666666667,0.030675,0.02804875,0.0276475,0.02643625,0.02602625,0.0250625,0.0250925,0.02471,0.05747375,0.057875,0.05786375,0.05734875,0.05646625,0.0558525,0.0557,0.027006666666666665,0.028013333333333335,0.029913333333333333,0.03183333333333333,0.03264,0.03527333333333333,0.03542666666666667
