,dLQ,sLQ,non-res
All,1.0,1.0,1.0
Maximum 1 light lepton,0.96606,0.95727,0.9674
At least 2 leptons,0.16734833333333332,0.21594,0.19381333333333334
Exactly 2 leptons,0.16242833333333334,0.21116166666666666,0.19262833333333335
semileptonic selection,0.09346,0.12161666666666666,0.10533333333333333
dLQ selection,0.04305333333333333,0.020335,0.0029866666666666665
DeltaR > 0.3,0.04305333333333333,0.020335,0.0029866666666666665
