,dLQ,sLQ,non-res
All,1.0,1.0,1.0
Maximum 1 light lepton,0.97424125,0.960865,0.9667133333333333
At least 2 leptons,0.11350625,0.179225,0.19338
Exactly 2 leptons,0.11002375,0.17551125,0.19219333333333333
semileptonic selection,0.06543375,0.10421625,0.10532666666666667
non-resonant selection,0.0083525,0.02959875,0.07513333333333333
DeltaR > 0.3,0.0083525,0.02959875,0.07513333333333333
