,dLQ,sLQ,non-res
All,1.0,1.0,1.0
Maximum 1 light lepton,0.9760525,0.96152125,0.9648933333333334
At least 2 leptons,0.11041,0.18167375,0.2088
Exactly 2 leptons,0.10709625,0.177715,0.20752666666666666
semileptonic selection,0.06270625,0.10448875,0.11506
non-resonant selection,0.00818875,0.029315,0.08171333333333333
DeltaR > 0.3,0.00818875,0.029315,0.08171333333333333
