,LQ_LQ_1250,LQ_LQ_1500,LQ_LQ_1750,LQ_LQ_2000,LQ_LQ_2250,LQ_LQ_2500,Tau_Tau_1250,Tau_Tau_1500,Tau_Tau_1750,Tau_Tau_2000,Tau_Tau_2250,Tau_Tau_2500,Tau_LQ_1250,Tau_LQ_1500,Tau_LQ_1750,Tau_LQ_2000,Tau_LQ_2250,Tau_LQ_2500,ttbar,stop,z_jets,w_jets,ww,wz,zz,LQ_LQ_wo_RHC_1250,LQ_LQ_wo_RHC_1500,LQ_LQ_wo_RHC_1750,LQ_LQ_wo_RHC_2000,LQ_LQ_wo_RHC_2250,LQ_LQ_wo_RHC_2500,Tau_LQ_wo_RHC_1250,Tau_LQ_wo_RHC_1500,Tau_LQ_wo_RHC_1750,Tau_LQ_wo_RHC_2000,Tau_LQ_wo_RHC_2250,Tau_LQ_wo_RHC_2500,Tau_Tau_wo_RHC_1250,Tau_Tau_wo_RHC_1500,Tau_Tau_wo_RHC_1750,Tau_Tau_wo_RHC_2000,Tau_Tau_wo_RHC_2250,Tau_Tau_wo_RHC_2500
XS,0.0330183,0.00654102,0.001428408,0.000331919,8.02E-05,2.00E-05,0.147,0.07285,0.03964,0.02337,0.01466,0.009684,0.02291,0.006099,0.001836,0.0006038,0.0002119,7.81E-05,505,241.17,43000,147000,65.5,24.7,9.56,0.03347837,0.006548228,0.001422501,0.000330683,7.98781E-05,1.98795E-05,0.0114448,0.00304724,0.00091653,0.00030121,0.00010571,3.8959E-05,0.01707,0.008189,0.004485,0.002816,0.002013,0.001612
All,4523.5071,896.11974,195.691896,45.472903,10.9874,2.74,20139,9980.45,5430.68,3201.69,2008.42,1326.708,3138.67,835.563,251.532,82.7206,29.0303,10.6997,69185000,33040290,5891000000,20139000000,8973500,3383900,1309720,4700.842373,919.2765083,199.3839706,46.29222614,11.17744691,2.780570923,1630.95781,433.8253608,130.3911695,42.83187467,15.03308213,5.535301884,2417.797031,1161.075425,637.5542151,401.3120757,287.4475374,230.4491193
Maximum 1 light lepton,4372.715991,866.2027825,189.2285188,44.01943744,10.63435653,2.6545668,19482.26721,9642.428793,5244.136142,3089.390723,1937.619848,1278.988524,3004.716796,799.6602505,240.460819,79.07344875,27.76714326,10.23627816,68461153.65,32944289.28,5811114079,20138993269,8903157.81,3329153.995,1273646.644,4586.53669,897.107236,194.8826781,45.30360936,10.94330176,2.723491363,1567.9376,417.47188,125.56461,41.26577,14.48227,5.33738163,2338.59,1121.893,614.445,385.792,275.781,220.844
Exactly 2 leptons,733.9013311,143.5957207,31.22981738,7.205787786,1.733555347,0.428102167,3949.52642,1992.746549,1103.695199,659.1639372,420.7773795,279.2322328,671.1051883,181.2698224,54.63610416,18.05390882,6.346846105,2.321068088,401406.6324,76929.28739,724215.6579,1917466.714,17870.18684,5417.331888,1852.336996,511.5268637,98.20447083,20.89065491,4.8293902,1.133214278,0.280859908,287.9553871,76.67776487,23.02447272,7.535497374,2.620867538,0.966198014,478.9655918,237.571513,135.4675196,87.65458357,65.61660752,53.50567652
hadronic selection,313.2604059,61.25575836,13.30639662,3.111710752,0.74879131,0.183488667,1820.16282,903.7297475,504.5282743,298.1787259,189.8994584,126.0018811,286.4140997,77.03751599,23.42559438,7.755469853,2.731364159,0.994269623,46078.26739,9995.405992,241935.7802,261560.1536,1342.4356,859.8884975,550.999204,209.8456035,40.82323118,8.750563703,2.044079538,0.48434113,0.118841601,118.8642052,32.03539994,9.591574431,3.158593765,1.098978436,0.410099446,221.5508012,107.3839958,61.06919309,39.51051156,29.2161677,23.51656446
non-resonant selection,39.61838302,7.708123297,1.68653799,0.393340611,0.09527907,0.0241257,1311.45168,647.930814,360.1355442,213.6754545,135.2838238,89.95301358,79.41881323,21.4725765,6.53815512,2.178447001,0.76577093,0.279351334,15500.78721,5315.177087,229838.9912,238481.3165,1264.90456,787.0573503,477.000024,28.46830141,5.754670942,1.234585546,0.290530011,0.069836688,0.017361885,34.53716258,9.205774156,2.827923685,0.921570615,0.313529961,0.120403887,158.3173496,77.19603478,42.83089217,27.95807461,20.49692573,16.49093898
DeltaR > 0.3,39.61838302,7.708123297,1.68653799,0.393340611,0.09527907,0.0241257,1311.45168,647.930814,360.1355442,213.6754545,135.2838238,89.95301358,79.41881323,21.4725765,6.53815512,2.178447001,0.76577093,0.279351334,15500.78721,5315.177087,229838.9912,238481.3165,1264.90456,787.0573503,477.000024,28.46830141,5.754670942,1.234585546,0.290530011,0.069836688,0.017361885,34.53716258,9.205774156,2.827923685,0.921570615,0.313529961,0.120403887,158.3173496,77.19603478,42.83089217,27.95807461,20.49692573,16.49093898
