,LQ_LQ_1250,LQ_LQ_1500,LQ_LQ_1750,LQ_LQ_2000,LQ_LQ_2250,LQ_LQ_2500,Tau_Tau_1250,Tau_Tau_1500,Tau_Tau_1750,Tau_Tau_2000,Tau_Tau_2250,Tau_Tau_2500,Tau_LQ_1250,Tau_LQ_1500,Tau_LQ_1750,Tau_LQ_2000,Tau_LQ_2250,Tau_LQ_2500,ttbar,stop,z_jets,w_jets,ww,wz,zz
XS,0.0330183,0.00654102,0.001428408,0.000331919,8.02e-05,2e-05,0.147,0.07285,0.03964,0.02337,0.01466,0.009684,0.02291,0.006099,0.001836,0.0006038,0.0002119,7.81e-05,505.0,241.17,43000.0,147000.0,65.5,24.7,9.56
All,4523.5071,896.11974,195.69189599999999,45.472903,10.9874,2.74,20139.0,9980.449999999999,5430.68,3201.6899999999996,2008.4199999999998,1326.708,3138.67,835.563,251.53199999999998,82.7206,29.0303,10.6997,69185000.0,33040290.0,5891000000.0,20139000000.0,8973500.0,3383900.0,1309720.0
Maximum 1 light lepton,4372.7159908215,866.2027824801,189.22851882828,44.01943744377667,10.634356525666666,2.6545668000000004,19482.267209999998,9642.428792583334,5244.136142,3089.39072325,1937.6198476333334,1278.9885244199997,3004.7167955166665,799.660250495,240.46081901999997,79.07344874600001,27.76714326316667,10.236278160166668,68461153.65415668,32944289.28260348,5811114078.721804,20138993268.67252,8903157.810320001,3329153.9946903554,1273646.6439840002
Exactly 2 leptons,733.9013310825,143.5957206705,31.229817376319996,7.205787785723334,1.7335553473333334,0.4281021666666667,3949.5264199999997,1992.74654925,1103.6951986666666,659.1639372,420.7773794666667,279.23223276,671.1051882833334,181.26982243,54.63610416,18.05390881766667,6.346846105166668,2.3210680881666668,401406.63238334237,76929.2873947826,724215.6578569957,1917466.7140146294,17870.18684,5417.331888324873,1852.3369960000002
semileptonic selection,420.64092522900006,82.33996230989999,17.92342075464,4.094077033433334,0.9847640373333333,0.2446135,2129.3635999999997,1089.01680175,599.1669244000001,360.98521135,230.8779211,153.23035163999998,384.69108854999996,104.232306435,31.210509780000002,10.298438964666667,3.615481945833333,1.3267984656666665,355328.3649939833,66933.8814026087,482279.87764982355,1655906.5604479397,16527.75124,4557.4433908629435,1301.3377920000003
sLQ selection,175.35375273149998,34.001770001400004,7.44738125544,1.6893941346216668,0.406314052,0.09974056666666667,542.376835,279.51913633333334,156.22256133333332,94.18304749999999,59.39567413333334,39.84988596,214.66933464999997,58.09112497,17.334747,5.754182803666666,2.0072033258333337,0.7412930488333334,173522.85943494225,27337.24863913043,13688.471774879477,43272.819523900864,612.35164,277.2393197969543,116.30313600000001
DeltaR > 0.3,175.35375273149998,34.001770001400004,7.44738125544,1.6893941346216668,0.406314052,0.09974056666666667,542.376835,279.51913633333334,156.22256133333332,94.18304749999999,59.39567413333334,39.84988596,214.66933464999997,58.09112497,17.334747,5.754182803666666,2.0072033258333337,0.7412930488333334,173522.85943494225,27337.24863913043,13688.471774879477,43272.819523900864,612.35164,277.2393197969543,116.30313600000001
