,dLQ,sLQ,non-res
All,1.0,1.0,1.0
Maximum 1 light lepton,0.9660866666666666,0.95639,0.9656833333333333
At least 2 leptons,0.168155,0.21987666666666666,0.20005333333333333
Exactly 2 leptons,0.16299666666666668,0.21510166666666666,0.19897166666666666
hadronic selection,0.069225,0.091215,0.09036666666666666
sLQ selection,0.02929,0.050436666666666664,0.022726666666666666
DeltaR > 0.3,0.02929,0.050436666666666664,0.022726666666666666
