,dLQ,sLQ,non-res
All,1.0,1.0,1.0
Maximum 1 light lepton,0.9675616666666667,0.9558466666666666,0.9630416666666667
At least 2 leptons,0.163375,0.22478,0.21356833333333333
Exactly 2 leptons,0.15820166666666666,0.219515,0.21223666666666666
semileptonic selection,0.09007166666666666,0.12544166666666667,0.11770333333333333
non-resonant selection,0.010761666666666666,0.03404,0.083805
DeltaR > 0.3,0.010761666666666666,0.03404,0.083805
