,dLQ,sLQ,non-res
All,1.0,1.0,1.0
Maximum 1 light lepton,0.9685116666666667,0.9560766666666667,0.9624133333333333
At least 2 leptons,0.16158333333333333,0.22313166666666667,0.21449166666666666
Exactly 2 leptons,0.15661333333333333,0.217845,0.21323166666666668
hadronic selection,0.06696166666666667,0.09290166666666666,0.09495166666666667
non-resonant selection,0.008805,0.026096666666666667,0.06779333333333333
DeltaR > 0.3,0.008805,0.026096666666666667,0.06779333333333333
