,dLQ,sLQ,non-res
All,1.0,1.0,1.0
Maximum 1 light lepton,0.967685,0.9552283333333333,0.9632333333333334
At least 2 leptons,0.164085,0.22431666666666666,0.21007333333333333
Exactly 2 leptons,0.15894333333333333,0.21921,0.20880666666666667
semileptonic selection,0.09053833333333333,0.12548166666666666,0.11568833333333334
dLQ selection,0.04269166666666667,0.021315,0.0033966666666666668
DeltaR > 0.3,0.04269166666666667,0.021315,0.0033966666666666668
