,dLQ,sLQ,non-res
All,1.0,1.0,1.0
Maximum 1 light lepton,0.9665533333333334,0.95518,0.9639916666666667
At least 2 leptons,0.1654,0.22327166666666667,0.20740333333333333
Exactly 2 leptons,0.16010166666666667,0.21814666666666666,0.20613833333333334
semileptonic selection,0.092125,0.12505,0.113245
dLQ selection,0.043046666666666664,0.021628333333333333,0.003315
DeltaR > 0.3,0.043046666666666664,0.021628333333333333,0.003315
