,500,625,750,875,1000,1125,1250,1375,1500,1625,1750,1875,2000,2125,2250,2375,2500,2625,2750,2875,3000,3125,3250,3375,3500,3625,3750,3875,4000,4125,4250,4375,4500,4625,4750,4875,5000
0.5,0.5014,0.1457,0.05033,0.01963,0.008382,0.003828,0.001848,0.0009363,0.0004908,0.0002648,0.0001467,8.317e-05,4.816e-05,2.827e-05,1.686e-05,1.015e-05,6.187e-06,3.806e-06,2.364e-06,1.476e-06,9.272e-07,5.873e-07,3.726e-07,2.379e-07,1.523e-07,9.773e-08,6.287e-08,4.051e-08,2.614e-08,1.688e-08,1.096e-08,7.101e-09,4.591e-09,2.978e-09,1.934e-09,1.25e-09,8.103e-10
0.75,1.125,0.327,0.1134,0.04416,0.01884,0.008637,0.004167,0.002105,0.001104,0.0005969,0.0003305,0.0001876,0.0001082,6.355e-05,3.787e-05,2.283e-05,1.393e-05,8.571e-06,5.314e-06,3.331e-06,2.084e-06,1.32e-06,8.39e-07,5.353e-07,3.423e-07,2.199e-07,1.411e-07,9.103e-08,5.888e-08,3.811e-08,2.463e-08,1.596e-08,1.035e-08,6.708e-09,4.334e-09,2.816e-09,1.826e-09
1.0,2.003,0.5824,0.2012,0.0785,0.03351,0.01535,0.007408,0.003748,0.001959,0.001061,0.0005877,0.0003336,0.0001924,0.0001132,6.747e-05,4.048e-05,2.472e-05,1.524e-05,9.453e-06,5.905e-06,3.714e-06,2.353e-06,1.492e-06,9.509e-07,6.085e-07,3.911e-07,2.518e-07,1.619e-07,1.046e-07,6.768e-08,4.379e-08,2.842e-08,1.841e-08,1.191e-08,7.746e-09,5.011e-09,3.243e-09
1.25,3.13,0.9139,0.3139,0.1227,0.05236,0.02395,0.01156,0.005838,0.00307,0.001656,0.0009179,0.0005204,0.0003008,0.0001769,0.0001051,6.345e-05,3.863e-05,2.385e-05,1.475e-05,9.212e-06,5.791e-06,3.666e-06,2.331e-06,1.485e-06,9.489e-07,6.107e-07,3.927e-07,2.536e-07,1.634e-07,1.056e-07,6.85e-08,4.441e-08,2.874e-08,1.863e-08,1.209e-08,7.825e-09,5.06e-09
1.5,4.513,1.311,0.4526,0.1766,0.07538,0.03449,0.01667,0.008415,0.004416,0.002387,0.001321,0.0007486,0.0004326,0.000254,0.0001515,9.141e-05,5.569e-05,3.436e-05,2.127e-05,1.331e-05,8.342e-06,5.278e-06,3.348e-06,2.133e-06,1.366e-06,8.775e-07,5.641e-07,3.641e-07,2.349e-07,1.52e-07,9.864e-08,6.39e-08,4.129e-08,2.677e-08,1.735e-08,1.128e-08,7.312e-09
1.75,6.136,1.784,0.6164,0.2409,0.1028,0.04693,0.02269,0.01146,0.006023,0.003251,0.001801,0.001018,0.0005886,0.0003466,0.0002064,0.0001245,7.575e-05,4.672e-05,2.893e-05,1.815e-05,1.134e-05,7.191e-06,4.563e-06,2.913e-06,1.862e-06,1.197e-06,7.705e-07,4.961e-07,3.202e-07,2.072e-07,1.342e-07,8.686e-08,5.636e-08,3.652e-08,2.369e-08,1.531e-08,9.938e-09
2.0,8.024,2.336,0.8069,0.3146,0.1338,0.06137,0.02959,0.01495,0.007847,0.00425,0.002349,0.00133,0.0007697,0.0004523,0.0002697,0.0001624,9.899e-05,6.097e-05,3.778e-05,2.362e-05,1.485e-05,9.387e-06,5.968e-06,3.802e-06,2.432e-06,1.563e-06,1.005e-06,6.479e-07,4.185e-07,2.709e-07,1.755e-07,1.135e-07,7.356e-08,4.77e-08,3.091e-08,2.004e-08,1.296e-08
2.25,10.16,2.954,1.02,0.3973,0.1693,0.07771,0.03752,0.01895,0.009932,0.005357,0.002972,0.00169,0.0009752,0.0005727,0.0003415,0.0002057,0.0001249,7.712e-05,4.781e-05,2.993e-05,1.878e-05,1.189e-05,7.553e-06,4.815e-06,3.078e-06,1.981e-06,1.275e-06,8.188e-07,5.293e-07,3.423e-07,2.222e-07,1.437e-07,9.319e-08,6.04e-08,3.916e-08,2.527e-08,1.643e-08
2.5,12.56,3.64,1.259,0.4908,0.2099,0.09582,0.04631,0.02337,0.01229,0.006634,0.003676,0.002085,0.001203,0.0007069,0.0004217,0.0002545,0.0001549,9.515e-05,5.923e-05,3.689e-05,2.319e-05,1.469e-05,9.306e-06,5.925e-06,3.809e-06,2.442e-06,1.571e-06,1.013e-06,6.557e-07,4.224e-07,2.742e-07,1.776e-07,1.15e-07,7.439e-08,4.825e-08,3.131e-08,2.028e-08
2.75,15.14,4.404,1.523,0.595,0.2541,0.1158,0.05606,0.02834,0.01486,0.008017,0.004446,0.002521,0.001456,0.0008539,0.0005091,0.0003077,0.0001874,0.000115,7.164e-05,4.468e-05,2.804e-05,1.773e-05,1.126e-05,7.193e-06,4.613e-06,2.954e-06,1.896e-06,1.222e-06,7.927e-07,5.125e-07,3.311e-07,2.147e-07,1.391e-07,9.037e-08,5.861e-08,3.778e-08,2.449e-08
