,dLQ,sLQ,non-res
All,1.0,1.0,1.0
Maximum 1 light lepton,0.97424125,0.960865,0.9667133333333333
At least 2 leptons,0.11350625,0.179225,0.19338
Exactly 2 leptons,0.11002375,0.17551125,0.19219333333333333
hadronic selection,0.04459,0.071295,0.08686666666666666
dLQ selection,0.0191325,0.01161625,0.002446666666666667
DeltaR > 0.3,0.0191325,0.01161625,0.002446666666666667
