,dLQ,sLQ,non-res
All,1.0,1.0,1.0
Maximum 1 light lepton,0.97730625,0.96222375,0.9621466666666667
At least 2 leptons,0.10919625,0.182145,0.21644
Exactly 2 leptons,0.10577625,0.1780775,0.21516666666666667
hadronic selection,0.044305,0.07372125,0.09578
non-resonant selection,0.0062425,0.0216025,0.06717333333333333
DeltaR > 0.3,0.0062425,0.0216025,0.06717333333333333
