,dLQ,sLQ,non-res
All,1.0,1.0,1.0
Maximum 1 light lepton,0.9675616666666667,0.9558466666666666,0.9630416666666667
At least 2 leptons,0.163375,0.22478,0.21356833333333333
Exactly 2 leptons,0.15820166666666666,0.219515,0.21223666666666666
hadronic selection,0.06813,0.09407333333333333,0.09453333333333333
sLQ selection,0.028465,0.051546666666666664,0.02428
DeltaR > 0.3,0.028465,0.051546666666666664,0.02428
