,ttbar,stop,z_jets,w_jets,ww,wz,zz
All,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Maximum 1 light lepton,0.9885851340649394,0.9968420869565218,0.9852615741896549,0.9999996657566175,0.9911556,0.9822169543147208,0.9697543
At least 2 leptons,0.006057739974698907,0.0024384347826086955,0.00013039315942247015,9.946128084069659e-05,0.00207416,0.0016804060913705584,0.0014777
Exactly 2 leptons,0.005998457250408829,0.0024197391304347825,0.00013006893275171392,9.917478651278292e-05,0.00206896,0.0016575634517766496,0.001453
semileptonic selection,0.005334498966357774,0.0021178260869565216,8.900022112258946e-05,8.618704364736312e-05,0.00191968,0.001404263959390863,0.001033
dLQ selection,0.001097656049121147,0.0001485217391304348,5.403777845937429e-08,2.8649432791367236e-07,3.76e-06,6.802030456852792e-06,1.5e-05
DeltaR > 0.3,0.001097656049121147,0.0001485217391304348,5.403777845937429e-08,2.8649432791367236e-07,3.76e-06,6.802030456852792e-06,1.5e-05
