,dLQ,sLQ,non-res
All,1.0,1.0,1.0
Maximum 1 light lepton,0.975175,0.961025,0.9655933333333333
At least 2 leptons,0.11301,0.182045,0.20219333333333334
Exactly 2 leptons,0.10966625,0.1781425,0.20094666666666666
hadronic selection,0.04483125,0.073085,0.09162666666666666
dLQ selection,0.01955125,0.01199375,0.00254
DeltaR > 0.3,0.01955125,0.01199375,0.00254
